Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Marital_status_group,Application_mode_group,Previous_qualification_group,Mothers_qualification_group,Fathers_qualification_group,Age_group,First_sem_approval_ratio,Second_sem_approval_ratio,Overall_approval_ratio,Grade_change,Course_load_change,Average_grade,Total_credits,Total_units_enrolled,Total_units_approved,Course_completion_ratio,Total_evaluations,Evaluation_participation_ratio,Total_without_evaluations,Without_evaluations_ratio,Financial_stability,Economic_context_score,First_sem_engagement,Second_sem_engagement,Engagement_change
1,18,3.5,9254.0,1,1,119.0,1,37,37,9.0,9.0,113.1,1,0,0,1,1,0,22,0,0,5,5,0.0,7.399999999999999,0,0,5,5,0,6.874999999999999,0,15.5,2.8,-4.06,Single,Regular_Phase,Secondary,Medium,Medium,Young Adult,0.0,0.0,0.0,-0.5250000000000004,0,7.137499999999999,0,10,0.0,0.0,10,1.0,0,0.0,1,-0.4393333333333333,1.0,1.0,0.0
1,1,3.0,9238.0,1,1,137.0,1,1,1,9.0,9.0,129.3,0,0,0,1,0,0,21,0,0,6,8,6.0,13.875,0,0,6,7,6,14.142857142857142,0,16.2,0.3,-0.92,Single,Regular_Phase,Secondary,Medium,Medium,Young Adult,1.0,1.0,1.0,0.2678571428571423,0,14.008928571428571,0,12,12.0,1.0,15,1.25,0,0.0,1,-0.1719999999999999,1.3333333333333333,1.1666666666666667,-0.1666666666666665
1,1,1.0,9238.0,1,1,138.0,1,1,19,4.0,7.0,123.0,1,0,0,1,0,0,18,0,0,6,9,5.0,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,Single,Regular_Phase,Secondary,Medium,Medium,Teen,0.8333333333333334,0.3333333333333333,0.5833333333333334,2.1,0,12.45,0,12,7.0,0.5833333333333334,23,1.9166666666666667,0,0.0,1,0.7576666666666666,1.5,2.333333333333333,0.8333333333333335
1,1,1.0,9670.0,1,1,139.0,1,38,19,5.0,7.0,130.6,1,0,0,1,0,0,18,0,0,6,6,6.0,12.333333333333334,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,Single,Regular_Phase,Secondary,Medium,Medium,Teen,1.0,0.8333333333333334,0.9166666666666669,1.8666666666666651,0,13.266666666666666,0,12,11.0,0.9166666666666666,13,1.0833333333333333,0,0.0,1,0.1523333333333333,1.0,1.1666666666666667,0.1666666666666667
1,1,1.0,9500.0,1,1,136.0,1,19,38,9.0,9.0,119.3,1,0,0,1,0,0,18,0,0,8,8,7.0,13.214285714285714,0,0,8,8,7,13.214285714285714,0,12.7,3.7,-1.7,Single,Regular_Phase,Secondary,Medium,Medium,Teen,0.875,0.875,0.875,0.0,0,13.214285714285714,0,16,14.0,0.875,16,1.0,0,0.0,1,-0.0166666666666666,1.0,1.0,0.0
1,1,2.0,9853.0,1,1,133.0,1,19,37,4.0,9.0,130.2,1,0,0,1,0,0,19,0,0,6,6,0.0,7.399999999999999,0,0,6,0,0,6.874999999999999,0,12.7,3.7,-1.7,Single,Regular_Phase,Secondary,Medium,Medium,Teen,0.0,0.0,0.0,-0.5250000000000004,0,7.137499999999999,0,12,0.0,0.0,6,0.5,0,0.0,1,-0.0166666666666666,1.0,0.0,-1.0
1,53,1.0,9254.0,1,1,110.0,1,1,1,4.0,7.0,111.8,1,0,0,1,0,0,21,0,0,6,7,6.0,10.571428571428571,0,0,6,8,5,11.0,0,8.9,1.4,3.51,Single,Special_Entry,Secondary,Medium,Medium,Young Adult,1.0,0.8333333333333334,0.9166666666666669,0.4285714285714288,0,10.785714285714285,0,12,11.0,0.9166666666666666,15,1.25,0,0.0,1,0.7576666666666666,1.1666666666666667,1.3333333333333333,0.1666666666666665
1,1,1.0,9085.0,1,1,149.0,1,38,37,5.0,5.0,137.1,1,0,0,1,0,0,18,0,0,5,7,4.0,13.25,0,0,5,5,5,12.0,0,10.8,1.4,1.74,Single,Regular_Phase,Secondary,Medium,Medium,Teen,0.8,1.0,0.9,-1.25,0,12.625,0,10,9.0,0.9,12,1.2,0,0.0,1,0.4539999999999999,1.4,1.0,-0.3999999999999999
1,1,1.0,9773.0,1,1,127.0,1,19,37,9.0,3.0,120.7,1,0,0,1,0,0,20,0,0,6,6,5.0,13.2,0,0,6,7,0,6.874999999999999,0,15.5,2.8,-4.06,Single,Regular_Phase,Secondary,Medium,Medium,Young Adult,0.8333333333333334,0.0,0.4166666666666667,-6.325,0,10.0375,0,12,5.0,0.4166666666666667,13,1.0833333333333333,0,0.0,1,-0.4393333333333333,1.0,1.1666666666666667,0.1666666666666667
1,18,1.0,9238.0,1,1,137.0,1,19,38,5.0,8.0,137.4,1,0,0,1,0,0,18,0,0,6,10,1.0,12.0,0,0,6,14,2,11.0,0,10.8,1.4,1.74,Single,Regular_Phase,Secondary,Medium,Medium,Teen,0.1666666666666666,0.3333333333333333,0.25,-1.0,0,11.5,0,12,3.0,0.25,24,2.0,0,0.0,1,0.4539999999999999,1.6666666666666667,2.333333333333333,0.6666666666666667
1,17,2.0,9500.0,1,1,135.0,1,19,1,5.0,4.0,127.3,1,0,0,1,0,0,18,0,0,7,8,7.0,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,Single,Regular_Phase,Secondary,Medium,Medium,Teen,1.0,1.0,1.0,1.2387499999999996,1,13.925625,0,15,15.0,1.0,16,1.0666666666666669,0,0.0,1,-0.4393333333333333,1.1428571428571428,1.0,-0.1428571428571428
1,1,1.0,9130.0,1,1,137.0,1,3,19,3.0,5.0,136.3,1,0,0,1,0,0,20,0,0,5,8,4.0,12.5,0,0,5,8,4,12.25,0,10.8,1.4,1.74,Single,Regular_Phase,Secondary,High,Medium,Young Adult,0.8,0.8,0.8,-0.25,0,12.375,0,10,8.0,0.8,16,1.6,0,0.0,1,0.4539999999999999,1.6,1.6,0.0
1,1,1.0,9853.0,1,1,140.0,1,19,19,7.0,7.0,124.6,1,0,0,1,0,0,18,0,0,7,7,6.0,11.666666666666666,0,0,7,8,6,13.5,0,16.2,0.3,-0.92,Single,Regular_Phase,Secondary,Medium,Medium,Teen,0.8571428571428571,0.8571428571428571,0.8571428571428571,1.833333333333334,0,12.583333333333332,0,14,12.0,0.8571428571428571,15,1.0714285714285714,0,0.0,1,-0.1719999999999999,1.0,1.1428571428571428,0.1428571428571428
1,1,3.0,8378.5,1,1,122.0,1,1,1,9.0,8.0,120.3,0,0,0,1,0,0,21,0,0,2,0,0.0,7.399999999999999,0,0,2,0,0,6.874999999999999,0,11.1,0.6,2.02,Single,Regular_Phase,Secondary,Medium,Medium,Young Adult,0.0,0.0,0.0,-0.5250000000000004,0,7.137499999999999,0,4,0.0,0.0,0,0.0,0,0.0,1,0.462,0.0,0.0,0.0
1,18,3.5,9556.0,1,1,127.0,1,1,38,4.0,7.0,121.8,1,0,0,1,0,0,20,0,0,7,14,7.0,11.4375,0,0,8,9,8,11.425,0,12.7,3.7,-1.7,Single,Regular_Phase,Secondary,Medium,Medium,Young Adult,1.0,1.0,1.0,-0.0124999999999992,1,11.43125,0,15,15.0,1.0,23,1.5333333333333334,0,0.0,1,-0.0166666666666666,2.0,1.125,-0.875
